artist,total_days,median_danceability,median_energy,median_loudness,median_speechiness,median_acousticness,median_liveness,median_valence,median_tempo,cluster
Frank Ocean,169.0,0.6635,0.3915,-10.663499999999999,0.11725,0.807,0.1075,0.25,119.46549999999999,0
Jax Jones,67.0,0.763,0.7290000000000001,-5.5520000000000005,0.166,0.103,0.129,0.71,123.985,1
Weezer,3.0,0.53,0.784,-3.857,0.0438,0.02,0.106,0.74,167.96400000000003,1
Dropkick Murphys,3.0,0.452,0.928,-3.133,0.079,0.0007059999999999999,0.226,0.6,129.188,9
mansionz,1.0,0.868,0.399,-5.245,0.1,0.0616,0.124,0.635,96.004,8
Chuck Berry,96.0,0.6074999999999999,0.7589999999999999,-9.869,0.08275,0.7765,0.19235,0.963,160.0575,7
Gorillaz,73.0,0.64,0.792,-5.893,0.0791,0.0409,0.211,0.5670000000000001,120.122,9
blackbear,819.0,0.7455,0.623,-6.369,0.0567,0.07425,0.1255,0.5355,113.497,8
Trey Songz,50.0,0.6579999999999999,0.539,-6.138,0.0809,0.18555000000000002,0.17895,0.247,135.678,3
Logic,1873.0,0.7444999999999999,0.7905,-5.795999999999999,0.136,0.113,0.121,0.5694999999999999,130.0095,1
Cheat Codes,286.0,0.5670000000000001,0.644,-5.699,0.0575,0.0454,0.105,0.29600000000000004,140.03799999999998,8
Little Mix,114.0,0.6805,0.786,-3.772,0.0793,0.1045,0.2419,0.6755,88.41149999999999,9
WizKid,4.0,0.825,0.453,-7.4289999999999985,0.227,0.127,0.0838,0.496,99.974,8
alt-J,1.0,0.495,0.745,-5.475,0.035,0.142,0.194,0.589,143.398,3
Maggie Lindemann,142.0,0.703,0.868,-4.6610000000000005,0.0291,0.15,0.104,0.733,121.03,1
Josh Turner,56.0,0.502,0.792,-5.473,0.0335,0.304,0.14300000000000002,0.44,155.90200000000004,3
Jason Aldean,252.0,0.536,0.698,-4.817,0.0306,0.294,0.11,0.499,132.025,8
Harry Styles,946.0,0.5509999999999999,0.608,-6.515000000000001,0.0327,0.186,0.12,0.397,112.0235,8
French Montana,794.0,0.726,0.769,-4.69,0.127,0.0235,0.126,0.524,111.967,1
Lord Huron,183.0,0.3985,0.646,-6.9435,0.0934,0.677,0.37299999999999994,0.157,120.001,2
